id,sentence,section_nr,Labels,has_citation,last_section_title
458,"thus , h1 is supported .",18,Hypothesis Result,0,hypothesis testing 
459,"thus , h2 is also supported .",18,Hypothesis Result,0,hypothesis testing 
460,"thus , h3 is supported .",18,Hypothesis Result,0,hypothesis testing 
461,"thus , h4 and h5 are supported .",18,Hypothesis Result,0,hypothesis testing 
462,"again , h3 and h4 are supported .",18,Hypothesis Result,0,hypothesis testing 
463,"thus , Ïƒ hypothesis 1 is supported .",18,Hypothesis Result,0,hypothesis testing 
464,this result supports hypothesis 4 .,18,Hypothesis Result,0,hypothesis testing 
465,"thus , Ïƒ  hypothesis 8 is supported .",18,Hypothesis Result,0,hypothesis testing 
466,"therefore , Ïƒ  hypothesis 3 is not supported .",18,Hypothesis Result,0,hypothesis testing 
467,"furthermore , we found support for  hypotheses .",18,Hypothesis Result,0,hypothesis testing 
468,"however , we could not find support for two of our hypotheses",18,Hypothesis Result,0,hypothesis testing 
469,"by contrast , the model is strongly positive ",18,Hypothesis Result,0,hypothesis testing 
470,the results indicate partial support for h2a,18,Hypothesis Result,0,hypothesis testing 
